epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.8623,0,113.604,0,0,0,0,0,0,249.999,0,6.668e-05,6.668e-05,6.668e-05
2,154.844,0,111.287,0,0,0,0,0,0,249.123,0,0.000145079,0.000145079,0.000145079
3,215.968,0,107.337,0,0,0,0,0,0,247.785,0,0.000217977,0.000217977,0.000217977
4,275.284,0,102.231,0,0,0,0,0,0,247.104,0,0.000285374,0.000285374,0.000285374
5,334.382,0,98.7879,0,0,0,0,0,0,247.494,0,0.000347269,0.000347269,0.000347269
6,392.979,0,95.5283,0,0,0,0,0,0,248.331,0,0.000403664,0.000403664,0.000403664
7,452.047,0,92.7863,0,0,0,0,0,0,248.964,0,0.000454558,0.000454558,0.000454558
8,511.392,0,89.5404,0,0,0,0,0,0,248.813,0,0.00049995,0.00049995,0.00049995
9,570.405,0,86.2005,0,0,0,0,0,0,243.174,0,0.000539841,0.000539841,0.000539841
10,629.834,0,82.7849,0,0,0,0,0,0,239.55,0,0.000574231,0.000574231,0.000574231
11,690.131,0,80.2532,0,0,0,0,0,0,236.904,0,0.000603121,0.000603121,0.000603121
12,749.538,0,78.4358,0,0,0,0,0,0,234.716,0,0.000626509,0.000626509,0.000626509
13,810.885,0,78.1557,0,0,0,0,0,0,233.27,0,0.000644396,0.000644396,0.000644396
14,870.23,0,74.9264,0,0,0,0,0,0,228.219,0,0.000656781,0.000656781,0.000656781
15,929.969,0,73.2233,0,0,0,0,0,0,225.577,0,0.000663666,0.000663666,0.000663666
16,989.704,0,71.6155,0,0,0,0,0,0,250.758,0,0.00066505,0.00066505,0.00066505
17,1052.09,0,70.3781,0,0,0,0,0,0,2397.05,0,0.000660932,0.000660932,0.000660932
18,1111.23,0,68.9035,0,0,0,0,0,0,21927.9,0,0.000651314,0.000651314,0.000651314
19,1175.58,0,69.8501,0,0,0,0,0,0,34234.5,0,0.000636194,0.000636194,0.000636194
20,1234.68,0,69.3657,0,0,0,0,0,0,31203.4,0,0.000615573,0.000615573,0.000615573
21,1295.7,0,68.52,0,0,0,0,0,0,23133.1,0,0.00056678,0.00056678,0.00056678
22,1354.4,0,67.1412,0,0,0,0,0,0,12824,0,0.000511769,0.000511769,0.000511769
23,1413.72,0,66.2338,0,0,0,0,0,0,7830.63,0,0.000456758,0.000456758,0.000456758
24,1472.52,0,65.4082,0,0,0,0,0,0,445.519,0,0.000401747,0.000401747,0.000401747
25,1531.3,0,65.1367,0,0,0,0,0,0,177.181,0,0.000346736,0.000346736,0.000346736
26,1591.17,0,64.6864,0,0,0,0,0,0,170.206,0,0.000291725,0.000291725,0.000291725
27,1650.6,0,64.0097,0,0,0,0,0,0,167.273,0,0.000236714,0.000236714,0.000236714
28,1709.01,0,63.9162,0,0,0,0,0,0,170.019,0,0.000181703,0.000181703,0.000181703
29,1766.57,0,63.2842,0,0,0,0,0,0,179.536,0,0.000126692,0.000126692,0.000126692
30,1823.98,0,63.1991,0,0,0,0,0,0,173.668,0,7.1681e-05,7.1681e-05,7.1681e-05
